Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
2,tt0420332,2012-12-21,2012-12-21,,Veer-Zaara,https://www.imdb.com/title/tt0420332/,movie,7.8,192,2004,"Drama, Family, Musical, Romance",48342,2004-11-12,Yash Chopra,10,2012-12-24
3,tt0347473,2012-12-21,2012-12-21,,Main Hoon Na,https://www.imdb.com/title/tt0347473/,movie,7.0,182,2004,"Action, Comedy, Drama, Musical, Romance, Thriller",31844,2004-04-30,Farah Khan,10,2019-08-03
4,tt0213890,2012-12-21,2012-12-21,,Mohabbatein,https://www.imdb.com/title/tt0213890/,movie,7.1,216,2000,"Musical, Drama, Romance",26885,2000-10-27,Aditya Chopra,10,2019-08-03
5,tt0126871,2012-12-21,2012-12-21,,Deewana,https://www.imdb.com/title/tt0126871/,movie,6.9,185,1992,"Action, Comedy, Crime, Musical, Romance",6039,1992-06-25,Raj Kanwar,,
6,tt0110222,2012-12-21,2012-12-21,,Kabhi Haan Kabhi Naa,https://www.imdb.com/title/tt0110222/,movie,7.8,158,1994,"Comedy, Drama, Music, Musical, Romance",17103,1994-02-25,Kundan Shah,,
7,tt0106333,2012-12-21,2012-12-21,,Baazigar,https://www.imdb.com/title/tt0106333/,movie,7.7,175,1993,"Crime, Drama, Musical, Romance, Thriller",25580,1993-11-12,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",,
8,tt0109555,2012-12-21,2012-12-21,,Darr,https://www.imdb.com/title/tt0109555/,movie,7.8,178,1993,"Action, Drama, Romance, Thriller",21932,1993-12-24,Yash Chopra,,
9,tt0109134,2012-12-21,2012-12-21,,Anjaam,https://www.imdb.com/title/tt0109134/,movie,6.9,170,1994,"Drama, Thriller",5882,1994-04-22,Rahul Rawail,,
10,tt0113526,2012-12-21,2012-12-21,,Karan Arjun,https://www.imdb.com/title/tt0113526/,movie,6.8,175,1995,"Action, Drama, Fantasy, Romance",12688,1995-01-13,Rakesh Roshan,,
11,tt0112870,2012-12-21,2012-12-21,,Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870/,movie,8.1,189,1995,"Drama, Romance",62664,1995-10-19,Aditya Chopra,10,2013-11-30
12,tt0115568,2012-12-21,2012-12-21,,Army,https://www.imdb.com/title/tt0115568/,movie,4.3,153,1996,"Action, Drama",1559,1996-06-28,Raam Shetty,,
13,tt0136352,2012-12-21,2012-12-21,,Koyla,https://www.imdb.com/title/tt0136352/,movie,6.2,166,1997,"Action, Drama, Musical, Romance, Thriller",8146,1997-04-07,Rakesh Roshan,,
14,tt0120540,2012-12-21,2012-12-21,,Yes Boss,https://www.imdb.com/title/tt0120540/,movie,6.8,163,1997,"Comedy, Drama, Musical, Romance",12378,1997-07-18,Aziz Mirza,,
15,tt0118983,2012-12-21,2012-12-21,,Dil To Pagal Hai,https://www.imdb.com/title/tt0118983/,movie,7.0,180,1997,"Comedy, Drama, Musical, Romance",20455,1997-10-30,Yash Chopra,,
16,tt0119861,2012-12-21,2012-12-21,,Pardes,https://www.imdb.com/title/tt0119861/,movie,7.0,191,1997,"Drama, Musical, Romance",13568,1997-12-08,Subhash Ghai,,
17,tt0164550,2012-12-21,2012-12-21,,Duplicate,https://www.imdb.com/title/tt0164550/,movie,5.5,164,1998,"Action, Comedy, Crime, Thriller",6937,1998-05-08,Mahesh Bhatt,,
18,tt0164538,2012-12-21,2012-12-21,,Dil Se..,https://www.imdb.com/title/tt0164538/,movie,7.6,144,1998,"Drama, Romance",26449,1998-08-21,Mani Ratnam,,
19,tt0172684,2012-12-21,2012-12-21,,Kuch Kuch Hota Hai,https://www.imdb.com/title/tt0172684/,movie,7.6,177,1998,"Comedy, Drama, Musical, Romance",47324,1998-10-16,Karan Johar,,
20,tt0211934,2012-12-21,2012-12-21,,Baadshah,https://www.imdb.com/title/tt0211934/,movie,6.9,175,1999,"Action, Comedy, Crime, Romance, Thriller",16611,1999-08-27,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",,
21,tt0222270,2012-12-21,2012-12-21,,Phir Bhi Dil Hai Hindustani,https://www.imdb.com/title/tt0222270/,movie,6.2,160,2000,"Comedy, Drama, Musical, Romance",6781,2000-01-21,Aziz Mirza,,
