Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0108778,2012-12-21,2012-12-21,,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",800218,1994-09-22,,,
2,tt0285403,2012-12-21,2012-12-21,,Scrubs,https://www.imdb.com/title/tt0285403/,tvSeries,8.3,22,2001,"Comedy, Drama",234122,2001-10-02,,,
3,tt0934814,2012-12-21,2012-12-21,,Chuck,https://www.imdb.com/title/tt0934814/,tvSeries,8.2,43,2007,"Action, Comedy, Drama",126250,2007-09-24,,10,2014-02-12
4,tt0096697,2012-12-21,2012-12-21,,The Simpsons,https://www.imdb.com/title/tt0096697/,tvSeries,8.7,22,1989,"Animation, Comedy",359851,1989-12-17,,,
5,tt0496424,2012-12-21,2012-12-21,,30 Rock,https://www.imdb.com/title/tt0496424/,tvSeries,8.2,22,2006,Comedy,110459,2006-10-11,,,
6,tt0386676,2012-12-21,2012-12-21,,The Office,https://www.imdb.com/title/tt0386676/,tvSeries,8.9,22,2005,Comedy,390646,2005-03-24,,,
7,tt0397306,2012-12-21,2012-12-21,,American Dad!,https://www.imdb.com/title/tt0397306/,tvSeries,7.3,22,2005,"Animation, Comedy",115284,2005-02-06,,,
8,tt0193676,2012-12-21,2012-12-21,,Freaks and Geeks,https://www.imdb.com/title/tt0193676/,tvSeries,8.8,44,1999,"Comedy, Drama",127170,1999-09-25,,,
9,tt0273028,2012-12-21,2012-12-21,,Undeclared,https://www.imdb.com/title/tt0273028/,tvSeries,7.9,22,2001,Comedy,16172,2001-09-25,,,
10,tt0367279,2012-12-21,2012-12-21,,Arrested Development,https://www.imdb.com/title/tt0367279/,tvSeries,8.7,22,2003,Comedy,273216,2003-11-02,,,
11,tt0182576,2012-12-21,2012-12-21,,Family Guy,https://www.imdb.com/title/tt0182576/,tvSeries,8.1,22,1999,"Animation, Comedy",300967,1999-01-31,,,
12,tt0072562,2012-12-21,2012-12-21,,Saturday Night Live,https://www.imdb.com/title/tt0072562/,tvSeries,8.1,90,1975,"Comedy, Music",42247,1975-10-11,,,
13,tt0773262,2012-12-21,2012-12-21,,Dexter,https://www.imdb.com/title/tt0773262/,tvSeries,8.6,53,2006,"Crime, Drama, Mystery, Thriller",635598,2006-10-01,,,
14,tt0898266,2012-12-21,2012-12-21,,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.1,22,2007,"Comedy, Romance",708394,2006-05-01,,,
15,tt0460649,2012-12-21,2012-12-21,,How I Met Your Mother,https://www.imdb.com/title/tt0460649/,tvSeries,8.3,22,2005,"Comedy, Romance",590550,2005-09-19,,,
16,tt1405406,2012-12-21,2012-12-21,,The Vampire Diaries,https://www.imdb.com/title/tt1405406/,tvSeries,7.7,43,2009,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",277898,2009-09-10,,,
17,tt0944947,2012-12-21,2012-12-21,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.3,57,2011,"Action, Adventure, Drama, Fantasy, Romance",1726837,2011-04-17,,10,2019-05-06
18,tt0369179,2012-12-21,2012-12-21,,Two and a Half Men,https://www.imdb.com/title/tt0369179/,tvSeries,7.0,22,2003,"Comedy, Romance",238431,2003-09-22,,,
19,tt1826940,2012-12-21,2012-12-21,,New Girl,https://www.imdb.com/title/tt1826940/,tvSeries,7.7,22,2011,Comedy,186631,2011-09-20,,,
20,tt0472954,2012-12-21,2012-12-21,,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,tvSeries,8.8,22,2005,Comedy,186980,2005-08-04,,,
21,tt0165598,2012-12-21,2012-12-21,,That '70s Show,https://www.imdb.com/title/tt0165598/,tvSeries,8.1,22,1998,"Comedy, Romance",152171,1998-08-23,,,
22,tt0279600,2012-12-21,2012-12-21,,Smallville,https://www.imdb.com/title/tt0279600/,tvSeries,7.5,60,2001,"Adventure, Drama, Romance, Sci-Fi",115008,2001-05-16,,10,2014-02-17
23,tt1441109,2012-12-21,2012-12-21,,Cougar Town,https://www.imdb.com/title/tt1441109/,tvSeries,7.0,22,2009,"Comedy, Romance",40238,2009-09-23,,,
24,tt1600199,2012-12-21,2012-12-21,,Franklin & Bash,https://www.imdb.com/title/tt1600199/,tvSeries,7.6,60,2011,"Comedy, Crime, Drama",13087,2011-06-01,,,
25,tt1942919,2012-12-21,2012-12-21,,Men at Work,https://www.imdb.com/title/tt1942919/,tvSeries,7.1,30,2012,"Comedy, Drama, Romance",8008,2012-05-24,,,
26,tt0101188,2012-12-21,2012-12-21,,Rugrats,https://www.imdb.com/title/tt0101188/,tvSeries,7.4,30,1990,"Animation, Adventure, Comedy, Family",31521,1991-08-11,,,
27,tt0275137,2012-12-21,2012-12-21,,Justice League,https://www.imdb.com/title/tt0275137/,tvSeries,8.5,22,2001,"Animation, Action, Adventure, Drama, Family, Fantasy, Mystery",40438,2001-11-17,,,
28,tt0290983,2012-12-21,2012-12-21,,Spider-Man,https://www.imdb.com/title/tt0290983/,tvSeries,7.0,21,2003,"Animation, Action, Adventure, Crime, Drama, Sci-Fi, Thriller",4642,2003-07-11,,,
29,tt0412142,2012-12-21,2012-12-21,,House M.D.,https://www.imdb.com/title/tt0412142/,tvSeries,8.7,44,2004,"Drama, Mystery",407972,2004-11-16,,,
30,tt2300923,2012-12-21,2012-12-21,,Go On,https://www.imdb.com/title/tt2300923/,tvSeries,7.5,22,2012,Comedy,19500,2012-08-08,,,
31,tt0285331,2012-12-21,2012-12-21,,24,https://www.imdb.com/title/tt0285331/,tvSeries,8.3,44,2001,"Action, Crime, Drama, Thriller",169639,2001-11-06,,,
32,tt1439629,2012-12-21,2012-12-21,,Community,https://www.imdb.com/title/tt1439629/,tvSeries,8.5,22,2009,Comedy,210919,2009-09-17,,,
33,tt0105958,2012-12-21,2012-12-21,,Boy Meets World,https://www.imdb.com/title/tt0105958/,tvSeries,8.1,23,1993,"Comedy, Drama, Family",38395,1993-09-24,,,
34,tt0098800,2012-12-21,2012-12-21,,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,tvSeries,7.9,22,1990,Comedy,118552,1990-09-10,,,
35,tt0772145,2012-12-21,2012-12-21,,Wolverine and the X-Men,https://www.imdb.com/title/tt0772145/,tvSeries,8.0,23,2008,"Animation, Action, Adventure, Drama, Sci-Fi",9822,2008-09-08,,,
36,tt0976192,2012-12-21,2012-12-21,,The Spectacular Spider-Man,https://www.imdb.com/title/tt0976192/,tvSeries,8.1,23,2008,"Animation, Action, Adventure, Comedy, Sci-Fi",10037,2008-03-01,,,
37,tt0247827,2012-12-21,2012-12-21,,X-Men: Evolution,https://www.imdb.com/title/tt0247827/,tvSeries,7.9,23,2000,"Animation, Action, Drama, Fantasy, Romance, Sci-Fi, Thriller",10304,2000-11-04,,,
38,tt0103584,2012-12-21,2012-12-21,,X-Men,https://www.imdb.com/title/tt0103584/,tvSeries,8.4,23,1992,"Animation, Action, Family, Sci-Fi",37181,1992-10-31,,,
39,tt1722512,2012-12-21,2012-12-21,,Ultimate Spider-Man,https://www.imdb.com/title/tt1722512/,tvSeries,7.1,23,2012,"Animation, Action, Adventure, Comedy, Sci-Fi",10103,2012-04-01,,,
40,tt0112175,2012-12-21,2012-12-21,,Spider-Man,https://www.imdb.com/title/tt0112175/,tvSeries,8.4,23,1994,"Animation, Action, Adventure, Family, Sci-Fi",26192,1994-11-19,,,
41,tt1266020,2012-12-21,2012-12-21,,Parks and Recreation,https://www.imdb.com/title/tt1266020/,tvSeries,8.6,22,2009,Comedy,207059,2009-04-09,,,
42,tt0096694,2012-12-24,2012-12-24,,Saved by the Bell,https://www.imdb.com/title/tt0096694/,tvSeries,7.0,30,1989,"Comedy, Family, Romance",31059,1989-08-20,,,
43,tt1587678,2012-12-24,2012-12-24,,Happy Endings,https://www.imdb.com/title/tt1587678/,tvSeries,7.7,22,2011,"Comedy, Romance",34012,2011-04-13,,,
44,tt1430587,2012-12-24,2012-12-24,,Tosh.0,https://www.imdb.com/title/tt1430587/,tvSeries,7.3,22,2009,Comedy,14679,2009-06-04,,,
45,tt0106064,2012-12-25,2012-12-25,,Mighty Morphin Power Rangers,https://www.imdb.com/title/tt0106064/,tvSeries,6.5,30,1993,"Action, Adventure, Family, Fantasy, Sci-Fi",19981,1993-08-28,,,
46,tt0115319,2012-12-25,2012-12-25,,Power Rangers Zeo,https://www.imdb.com/title/tt0115319/,tvSeries,6.6,21,1996,"Action, Adventure, Family, Fantasy, Sci-Fi",2180,1996-04-20,,,
47,tt0118436,2012-12-25,2012-12-25,,Power Rangers Turbo,https://www.imdb.com/title/tt0118436/,tvSeries,5.7,30,1997,"Action, Family, Adventure, Fantasy, Sci-Fi, Thriller",1944,1997-04-19,,,
48,tt0120575,2012-12-25,2012-12-25,,Power Rangers in Space,https://www.imdb.com/title/tt0120575/,tvSeries,7.2,30,1998,"Action, Adventure, Family, Sci-Fi",2649,1998-02-06,,,
49,tt0175059,2012-12-25,2012-12-25,,Power Rangers Lost Galaxy,https://www.imdb.com/title/tt0175059/,tvSeries,6.9,30,1999,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",1891,1999-02-06,,,
50,tt0212686,2012-12-25,2012-12-25,,Power Rangers Lightspeed Rescue,https://www.imdb.com/title/tt0212686/,tvSeries,6.5,30,2000,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",1593,2000-02-12,,,
51,tt0256278,2012-12-25,2012-12-25,,Power Rangers Time Force,https://www.imdb.com/title/tt0256278/,tvSeries,7.0,30,2001,"Action, Adventure, Crime, Drama, Family, Sci-Fi",2009,2001-02-03,,,
