Title, Studio, Country code, Release date, Date added, Watched, Retailer,,,
(500) Days of Summer,20th Century Fox,US,December 22 2009,4-Jan,2013,,,,
13 Hours: The Secret Soldiers of Benghazi 4K,Paramount Pictures,US,June 11 2019,29-Oct,2019,,,,
2 Fast 2 Furious,Universal Studios,US,April 9 2013,29-Nov,2013,,,,
21 Jump Street,Sony Pictures,US,June 26 2012,26-Jun,2012,Best Buy,,,
21 Jump Street 4K,Sony Pictures,US,September 15 2020,1-Oct,2020,,,,
22 Jump Street,Sony Pictures,US,November 18 2014,26-Sep,2016,eBay,,,
22 Jump Street 4K,Sony Pictures,US,September 15 2020,1-Oct,2020,,,,
3 Games to Glory IV,NFL Productions,US,May 5 2015,4-May,2017,,,,
3 Games to Glory V,NFL Productions,US,May 2 2017,2-May,2017,Amazon,,,
3 Games to Glory VI,Cinedigm,US,May 7 2019,2-May,2019,,,,
30 Minutes or Less,Sony Pictures,US,November 29 2011,29-Nov,2011,,,,
3:10 to Yuma,Lionsgate Films,US,January 8 2008,5-Jan,2015,,,,
The 40-Year-Old Virgin,Universal Studios,US,September 30 2008,1-Nov,2016,Amazon,,,
The A-Team,20th Century Fox,US,December 14 2010,14-Dec,2010,,,,
The Accountant 4K,Warner Bros.,US,January 10 2017,17-Jan,2017,Best Buy,,,
Ad Astra,20th Century Fox,US,December 17 2019,18-Dec,2019,,,,
The Addams Family,Universal Studios,US,January 21 2020,17-Jan,2020,,,,
The Adjustment Bureau,Universal Studios,US,March 11 2014,22-Aug,2015,,,,
Agent Carter: The Complete First Season,Disney / Buena Vista,UK,November 30 2015,28-Nov,2017,Amazon,,,
Agent Carter: The Complete Second Season,Disney / Buena Vista,UK,December 5 2016,28-Nov,2017,Amazon,,,
Akira,FUNimation Entertainment,US,June 6 2017,21-Jul,2019,Best Buy,,,
Aladdin 4K,Disney / Buena Vista,US,September 10 2019,10-Sep,2019,Best Buy,,,
Aladdin 4K,Disney / Buena Vista,US,September 10 2019,9-Sep,2019,Best Buy,,,
Alita: Battle Angel 4K + 3D,20th Century Fox,US,July 23 2019,23-Jul,2019,,,,
All the Right Moves,20th Century Fox,US,May 3 2011,23-Jul,2019,Amazon,,,
Almost Famous,Paramount Pictures,US,August 29 2017,12-Jun,2020,Amazon,,,
The Amazing Spider-Man,Sony Pictures,US,November 9 2012,9-Nov,2012,Best Buy,,,
The Amazing Spider-Man 2,Sony Pictures,US,August 19 2014,19-Aug,2014,Best Buy,,,
American Made 4K,Universal Studios,US,January 2 2018,30-Dec,2017,Best Buy,,,
American Psycho,Lionsgate Films,US,February 6 2007,4-Jan,2014,,,,
Anaconda,Mill Creek Entertainment,US,July 22 2014,16-Mar,2016,Amazon,,,
Anchorman 2: The Legend Continues,Paramount Pictures,US,April 1 2014,8-Jun,2018,FYE,,,
Anchorman: The Legend of Ron Burgundy,Paramount Pictures,US,August 31 2010,1-Dec,2015,,,,
Angels & Demons,Sony Pictures,US,November 24 2009,27-Aug,2015,,,,
Ant-Man 3D,Disney / Buena Vista,US,December 8 2015,8-Dec,2015,Best Buy,,,
Ant-Man and the Wasp 4K,Disney / Buena Vista,US,October 16 2018,15-Oct,2018,Best Buy,,,
Apocalypse Now 4K,Lionsgate Films,US,August 27 2019,29-Nov,2019,Best Buy,,,
Aquaman 4K,Warner Bros.,US,March 26 2019,26-Mar,2019,Best Buy,,,
Argo,Warner Bros.,US,December 3 2013,28-Mar,2016,eBay,,,
Arrival 4K,Paramount Pictures,US,February 14 2017,28-Feb,2017,Best Buy,,,
Atomic Blonde 4K,Universal Studios,US,November 14 2017,27-Nov,2017,Best Buy,,,
Austin Powers Triple Feature,Warner Bros.,US,November 13 2012,27-Nov,2017,Amazon,,,
The Avengers,Disney / Buena Vista,US,August 28 2012,28-Aug,2012,Best Buy,,,
The Avengers,Disney / Buena Vista,US,September 25 2012,25-Sep,2012,Best Buy,,,
